,dow,dom,month,year,in_demand,out_demand,prev_holy,pos_holy
428,4,2,9,2015,591797941.0,593030456.0,0,0
429,5,3,9,2015,795516365.0,794728250.0,0,0
430,6,4,9,2015,750875245.0,760227345.0,0,0
431,7,5,9,2015,0.0,0.0,0,0
432,1,6,9,2015,0.0,0.0,0,0
433,2,7,9,2015,699937051.0,700214051.0,0,0
434,3,8,9,2015,578013904.0,578397959.0,0,0
435,4,9,9,2015,482948732.0,482800307.0,0,0
436,5,10,9,2015,485173833.0,485215103.0,0,0
437,6,11,9,2015,581100343.0,581509883.0,0,0
438,7,12,9,2015,0.0,0.0,0,0
439,1,13,9,2015,0.0,0.0,0,0
440,2,14,9,2015,619605838.0,619285103.0,0,0
441,3,15,9,2015,483367967.0,482740097.0,0,0
442,4,16,9,2015,397385893.0,397079008.0,0,0
443,5,17,9,2015,317857429.0,318113729.0,0,0
444,6,18,9,2015,590338480.0,600401520.0,0,0
445,7,19,9,2015,0.0,0.0,0,0
446,1,20,9,2015,0.0,0.0,0,0
447,2,21,9,2015,508930384.0,501305884.0,0,0
448,3,22,9,2015,610081816.0,608284476.0,0,0
449,4,23,9,2015,463551910.0,463863810.0,0,0
450,5,24,9,2015,404282141.0,403904866.0,0,0
451,6,25,9,2015,842726139.0,842243114.0,0,0
452,7,26,9,2015,0.0,0.0,0,0
453,1,27,9,2015,0.0,0.0,0,0
454,2,28,9,2015,699293130.0,700042905.0,0,0
455,3,29,9,2015,659024502.0,658567327.0,0,0
456,4,30,9,2015,414843884.0,414965909.0,0,0
457,5,1,10,2015,684479399.0,685741054.0,0,0
458,6,2,10,2015,841398612.0,849910382.0,0,0
459,7,3,10,2015,0.0,0.0,0,0
460,1,4,10,2015,0.0,0.0,0,0
461,2,5,10,2015,804148391.0,798710816.0,0,0
462,3,6,10,2015,937339799.0,933326224.0,0,1
463,4,7,10,2015,0.0,0.0,0,0
464,5,8,10,2015,561776634.0,561922334.0,1,0
465,6,9,10,2015,658532255.0,658448705.0,0,1
466,7,10,10,2015,0.0,0.0,0,0
467,1,11,10,2015,0.0,0.0,0,0
468,2,12,10,2015,0.0,0.0,0,0
469,3,13,10,2015,948287073.0,937860303.0,1,0
470,4,14,10,2015,541750237.0,542414722.0,0,0
471,5,15,10,2015,581495322.0,581037182.0,0,0
472,6,16,10,2015,724138648.0,723830273.0,0,0
473,7,17,10,2015,0.0,0.0,0,0
474,1,18,10,2015,0.0,0.0,0,0
475,2,19,10,2015,675112372.0,675344097.0,0,0
476,3,20,10,2015,461894397.0,463526922.0,0,0
477,4,21,10,2015,379638588.0,377534963.0,0,0
478,5,22,10,2015,683281391.0,685304491.0,0,0
479,6,23,10,2015,538239672.0,536534222.0,0,0
480,7,24,10,2015,0.0,0.0,0,0
481,1,25,10,2015,0.0,0.0,0,0
482,2,26,10,2015,523186102.0,523319922.0,0,0
483,3,27,10,2015,847382584.0,847857084.0,0,0
484,4,28,10,2015,491796041.0,499617596.0,0,0
485,5,29,10,2015,372242450.0,365092420.0,0,0
486,6,30,10,2015,597096348.0,595643603.0,0,0
487,7,31,10,2015,0.0,0.0,0,0
488,1,1,11,2015,0.0,0.0,0,0
489,2,2,11,2015,833186202.0,833379852.0,0,0
490,3,3,11,2015,641963382.0,642918902.0,0,0
491,4,4,11,2015,1909856483.0,1909208063.0,0,0
492,5,5,11,2015,804038748.0,804262073.0,0,1
493,6,6,11,2015,0.0,0.0,0,0
494,7,7,11,2015,0.0,0.0,0,0
495,1,8,11,2015,0.0,0.0,0,0
496,2,9,11,2015,759284158.0,758827133.0,1,0
497,3,10,11,2015,1000183862.0,1000462937.0,0,0
498,4,11,11,2015,469460438.0,469897138.0,0,0
499,5,12,11,2015,428410297.0,427008797.0,0,0
500,6,13,11,2015,570493354.0,574010179.0,0,0
501,7,14,11,2015,0.0,0.0,0,0
502,1,15,11,2015,0.0,0.0,0,0
503,2,16,11,2015,715247334.0,713119184.0,0,0
504,3,17,11,2015,628291795.0,628605305.0,0,0
505,4,18,11,2015,434732523.0,433301408.0,0,0
506,5,19,11,2015,487640003.0,487654328.0,0,0
507,6,20,11,2015,724873802.0,726048212.0,0,0
508,7,21,11,2015,0.0,0.0,0,0
509,1,22,11,2015,0.0,0.0,0,0
510,2,23,11,2015,719775651.0,718907741.0,0,0
511,3,24,11,2015,957588204.0,958388409.0,0,0
512,4,25,11,2015,586493272.0,587174047.0,0,0
513,5,26,11,2015,574931860.0,574255485.0,0,1
514,6,27,11,2015,0.0,0.0,0,0
515,7,28,11,2015,0.0,0.0,0,0
516,1,29,11,2015,0.0,0.0,0,0
517,2,30,11,2015,626206457.0,629157532.0,1,0
518,3,1,12,2015,972676870.0,968642920.0,0,0
519,4,2,12,2015,518340316.0,518689966.0,0,0
520,5,3,12,2015,689617477.0,689253277.0,0,0
521,6,4,12,2015,775178550.0,785307325.0,0,2
522,7,5,12,2015,0.0,0.0,0,0
523,1,6,12,2015,0.0,0.0,0,0
524,2,7,12,2015,0.0,0.0,0,0
525,3,8,12,2015,0.0,0.0,0,0
526,4,9,12,2015,1035163811.0,1035256236.0,2,0
527,5,10,12,2015,753246322.0,752758577.0,0,0
528,6,11,12,2015,522809383.0,523445653.0,0,0
529,7,12,12,2015,0.0,0.0,0,0
530,1,13,12,2015,0.0,0.0,0,0
531,2,14,12,2015,608848578.0,598347628.0,0,0
532,3,15,12,2015,1128645915.0,1129587405.0,0,0
533,4,16,12,2015,480780696.0,480293156.0,0,0
534,5,17,12,2015,460548996.0,460473596.0,0,0
535,6,18,12,2015,1082573767.0,1083110317.0,0,0
536,7,19,12,2015,0.0,0.0,0,0
537,1,20,12,2015,0.0,0.0,0,0
