,in_demand,out_demand
755,526965118.0,530169068.0
756,373927443.0,358599353.0
757,529335773.0,527532618.0
758,462557466.0,465682826.0
759,511653984.0,517722094.0
760,0.0,0.0
761,0.0,0.0
762,668617640.0,656862135.0
763,543614627.0,544627147.0
764,451471516.0,453961731.0
765,532715942.0,525039257.0
766,770824634.0,781286579.0
767,0.0,0.0
768,0.0,0.0
769,486236734.0,479048814.0
770,580218860.0,585741035.0
771,741807995.0,730363935.0
772,534797659.0,533875539.0
773,436306425.0,448851150.0
774,0.0,0.0
775,0.0,0.0
776,0.0,0.0
777,935587071.0,933129646.0
778,566481810.0,567335985.0
779,479848476.0,469591951.0
780,568306368.0,574997033.0
781,0.0,0.0
782,0.0,0.0
783,549142201.0,545455361.0
784,678261276.0,681883361.0
785,394217867.0,393428722.0
786,264698340.0,261627520.0
787,379517783.0,394312538.0
788,0.0,0.0
789,0.0,0.0
790,402828909.0,403045289.0
791,458718544.0,454894194.0
792,523089519.0,517500849.0
793,369001135.0,366919585.0
794,706267036.0,714056086.0
795,0.0,0.0
796,0.0,0.0
797,1073673934.0,1072047024.0
798,569099101.0,561780191.0
799,595623189.0,590412269.0
800,637775626.0,647218706.0
801,414893992.0,419964292.0
802,0.0,0.0
803,0.0,0.0
804,400152570.0,391576170.0
805,510892933.0,522733083.0
806,457631157.0,444330007.0
807,914334460.0,919747055.0
808,724966596.0,737862591.0
809,0.0,0.0
810,0.0,0.0
811,630025411.0,617261461.0
812,426373144.0,427720304.0
813,419270443.0,420150928.0
814,498906434.0,496393924.0
815,288842138.0,291425363.0
816,0.0,0.0
817,0.0,0.0
818,486079442.0,487140642.0
819,357957591.0,355417271.0
820,325699774.0,327427094.0
821,349607181.0,339441281.0
822,629417846.0,628202146.0
823,0.0,0.0
824,0.0,0.0
825,737035247.0,727555197.0
826,615810246.0,618147001.0
827,724281830.0,726797114.0
828,526644251.0,518967412.0
829,880884031.0,888008756.0
830,0.0,0.0
831,0.0,0.0
832,0.0,0.0
833,929823253.0,924604378.0
834,654389425.0,668565950.0
835,558081655.0,549016430.0
836,990522283.0,996904278.0
837,0.0,0.0
838,0.0,0.0
839,641852015.0,639633970.0
840,303137958.0,311469583.0
841,300911174.0,284913149.0
842,747269990.0,746069040.0
843,554472007.0,559656007.0
844,0.0,0.0
845,0.0,0.0
846,798460640.0,802095115.0
847,778044909.0,785770509.0
848,398651411.0,397500836.0
849,654438875.0,653007075.0
850,59231400.0,70217200.0
851,0.0,0.0
852,0.0,0.0
853,859527442.0,839563967.0
854,740732453.0,741983028.0
855,687837960.0,689118360.0
856,736869167.0,740369732.0
857,726005194.0,730947754.0
858,0.0,0.0
859,0.0,0.0
860,639232203.0,629804468.0
861,698525907.0,704275132.0
862,600865666.0,604368851.0
863,597450756.0,596663716.0
864,730482866.0,744872276.0
865,0.0,0.0
866,0.0,0.0
867,363136297.0,351387097.0
868,1178464974.0,1178968074.0
869,669384912.0,660478847.0
870,586192235.0,594141905.0
871,547134595.0,541729095.0
872,0.0,0.0
873,0.0,0.0
874,765785026.0,768463951.0
875,498403680.0,505855080.0
876,397181647.0,382523197.0
877,693743515.0,702472440.0
878,374347620.0,376203195.0
879,0.0,0.0
880,0.0,0.0
881,0.0,0.0
882,610015866.0,600859391.0
883,588703436.0,589774271.0
884,577193797.0,575400937.0
885,852528937.0,852196437.0
886,0.0,0.0
887,0.0,0.0
888,727398040.0,735833275.0
889,2009265929.0,1998066629.0
890,849221446.0,851550136.0
891,0.0,0.0
892,0.0,0.0
893,0.0,0.0
894,0.0,0.0
895,840923225.0,835210325.0
896,937264978.0,938835368.0
897,470496369.0,478958544.0
898,789589339.0,791967649.0
899,914811433.0,907547758.0
900,0.0,0.0
901,0.0,0.0
902,943793056.0,946915281.0
903,1013471959.0,1015320659.0
904,891490949.0,889583499.0
905,687398702.0,676431752.0
906,708920223.0,719562423.0
907,0.0,0.0
908,0.0,0.0
909,477152969.0,475940419.0
910,756214186.0,765992336.0
911,511200458.0,502747833.0
912,717241760.0,723863675.0
913,434772336.0,441139246.0
914,0.0,0.0
915,0.0,0.0
916,533575807.0,535600857.0
917,659912149.0,649468099.0
918,649425627.0,644914097.0
919,651501017.0,660846747.0
920,887432313.0,884540413.0
921,0.0,0.0
922,0.0,0.0
923,549920721.0,546536281.0
924,694393706.0,698248006.0
925,807905366.0,803921806.0
926,632834967.0,638313067.0
927,568812377.0,582306077.0
928,0.0,0.0
929,0.0,0.0
930,727809969.0,716543469.0
931,800842965.0,798361965.0
932,485191201.0,491049601.0
933,569153122.0,563713822.0
934,925654873.0,932195673.0
935,0.0,0.0
936,0.0,0.0
937,479784549.0,471341324.0
938,330857881.0,342447156.0
939,442878348.0,434975298.0
940,598320014.0,597192914.0
941,649290268.0,655599268.0
942,0.0,0.0
943,0.0,0.0
944,511518670.0,504729310.0
945,556529179.0,551584659.0
946,477928975.0,475376650.0
947,682770816.0,687000691.0
948,681552524.0,690168254.0
949,0.0,0.0
950,0.0,0.0
951,637425102.0,630562757.0
952,507631055.0,507795800.0
953,710911184.0,710689384.0
954,491335561.0,490286611.0
955,831475979.0,829475929.0
956,0.0,0.0
957,0.0,0.0
958,508152585.0,504350095.0
959,860614039.0,870420034.0
960,833773598.0,827617113.0
961,547785942.0,547320677.0
962,405736200.0,409421205.0
963,0.0,0.0
964,0.0,0.0
965,1081176847.0,1066306862.0
966,1669796709.0,1673367259.0
967,1207005635.0,1210424010.0
968,1229777368.0,1217147368.0
969,1379485494.0,1412062544.0
970,0.0,0.0
971,0.0,0.0
972,0.0,0.0
973,0.0,0.0
974,1149701132.0,1143781082.0
975,2138364889.0,2133709789.0
976,1772184018.0,1765935518.0
977,0.0,0.0
978,0.0,0.0
979,1277751799.0,1268115299.0
980,1658097368.0,1659814098.0
981,1204202850.0,1208757105.0
982,1279914127.0,1282824817.0
983,1230228807.0,1244774232.0
984,0.0,0.0
985,0.0,0.0
986,843013683.0,844402738.0
987,1199831839.0,1190230384.0
988,1220133881.0,1212308321.0
989,1413395914.0,1415992424.0
990,1738495310.0,1737650035.0
991,0.0,0.0
992,0.0,0.0
993,1148770968.0,1144949618.0
994,1089560418.0,1090383693.0
995,830329005.0,832691290.0
996,1342809242.0,1343991292.0
997,0.0,0.0
998,0.0,0.0
999,0.0,0.0
1000,1007329617.0,1002503367.0
1001,1053697118.0,1056217583.0
1002,1150808292.0,1143421842.0
1003,1167247856.0,1183080756.0
1004,1240567555.0,1235281240.0
1005,0.0,0.0
1006,0.0,0.0
1007,1122828358.0,1120773573.0
1008,1007315504.0,1003193434.0
1009,1182221527.0,1185250272.0
1010,43669698.0,44434498.0
1011,1545058616.0,1543369866.0
1012,0.0,0.0
1013,0.0,0.0
1014,1393026968.0,1381314368.0
1015,1177572531.0,1192984436.0
1016,1353784665.0,1340681400.0
1017,0.0,0.0
1018,0.0,0.0
1019,0.0,0.0
1020,0.0,0.0
1021,1966527498.0,1968372968.0
1022,1356050530.0,1361151485.0
1023,928405713.0,921431913.0
1024,1198351447.0,1209475837.0
1025,1896500505.0,1903592000.0
1026,0.0,0.0
1027,0.0,0.0
1028,1068966997.0,1057299422.0
1029,1575591913.0,1559551053.0
1030,1668596820.0,1678530720.0
1031,1394263624.0,1393982524.0
1032,1436450525.0,1444819425.0
1033,0.0,0.0
1034,0.0,0.0
1035,0.0,0.0
1036,1334359916.0,1340457076.0
1037,1236813425.0,1235611825.0
1038,1044245112.0,1027977687.0
1039,1485074350.0,1492432425.0
1040,0.0,0.0
1041,0.0,0.0
1042,1268667433.0,1278484883.0
1043,1475857032.0,1462051032.0
1044,1209560445.0,1216498090.0
1045,1196475983.0,1186099608.0
