,dow,dom,month,prev_holy,pos_holy,minfl
775,1,14,8,0,0,3.1180000000000003
776,2,15,8,0,0,3.1180000000000003
777,3,16,8,1,0,3.1180000000000003
778,4,17,8,0,0,3.1180000000000003
779,5,18,8,0,0,3.1180000000000003
780,6,19,8,0,0,3.1180000000000003
781,7,20,8,0,0,3.1180000000000003
782,1,21,8,0,0,3.1180000000000003
783,2,22,8,0,0,3.1180000000000003
784,3,23,8,0,0,3.1180000000000003
785,4,24,8,0,0,3.1180000000000003
786,5,25,8,0,0,3.1180000000000003
787,6,26,8,0,0,3.1180000000000003
788,7,27,8,0,0,3.1180000000000003
789,1,28,8,0,0,3.1180000000000003
790,2,29,8,0,0,3.1180000000000003
791,3,30,8,0,0,3.1180000000000003
792,4,31,8,0,0,3.1180000000000003
793,5,1,9,0,0,1.561
794,6,2,9,0,0,1.561
795,7,3,9,0,0,1.561
796,1,4,9,0,0,1.561
797,2,5,9,0,0,1.561
798,3,6,9,0,0,1.561
799,4,7,9,0,0,1.561
800,5,8,9,0,0,1.561
801,6,9,9,0,0,1.561
802,7,10,9,0,0,1.561
803,1,11,9,0,0,1.561
804,2,12,9,0,0,1.561
805,3,13,9,0,0,1.561
806,4,14,9,0,0,1.561
807,5,15,9,0,0,1.561
808,6,16,9,0,0,1.561
809,7,17,9,0,0,1.561
810,1,18,9,0,0,1.561
811,2,19,9,0,0,1.561
812,3,20,9,0,0,1.561
813,4,21,9,0,0,1.561
814,5,22,9,0,0,1.561
815,6,23,9,0,0,1.561
816,7,24,9,0,0,1.561
817,1,25,9,0,0,1.561
818,2,26,9,0,0,1.561
819,3,27,9,0,0,1.561
820,4,28,9,0,0,1.561
821,5,29,9,0,0,1.561
822,6,30,9,0,0,1.561
823,7,1,10,0,0,1.537
824,1,2,10,0,0,1.537
825,2,3,10,0,0,1.537
826,3,4,10,0,0,1.537
827,4,5,10,0,0,1.537
828,5,6,10,0,0,1.537
829,6,7,10,0,1,1.537
830,7,8,10,0,0,1.537
831,1,9,10,0,0,1.537
832,2,10,10,0,0,1.537
