,DATE,CASHD,ATMD,HOLIDAY
537,2016-08-19,-5565656,4674600,0
538,2016-08-20,0,4674600,1
539,2016-08-21,0,4674600,1
540,2016-08-22,-9125453,1770500,0
541,2016-08-23,-4943616,853550,0
542,2016-08-24,-4404229,1925250,0
543,2016-08-25,-3230473,1503650,0
544,2016-08-26,-4281678,2301950,0
545,2016-08-27,0,2301950,1
546,2016-08-28,0,2301950,1
547,2016-08-29,-7140205,1036950,0
548,2016-08-30,-3489456,3814400,0
549,2016-08-31,-3395320,4147700,0
550,2016-09-01,-3187556,6164000,0
551,2016-09-02,-3606928,7994300,0
552,2016-09-03,0,7994300,1
553,2016-09-04,0,7994300,1
554,2016-09-05,-8545651,3204050,0
555,2016-09-06,-5456782,3635550,0
556,2016-09-07,-6434901,2626300,0
557,2016-09-08,-5550778,5084750,0
558,2016-09-09,-5783018,6042450,0
559,2016-09-10,0,6042450,1
560,2016-09-11,0,6042450,1
561,2016-09-12,-13751475,2474700,0
562,2016-09-13,-6382303,1546850,0
563,2016-09-14,-5740784,2958600,0
564,2016-09-15,-7287124,2194000,0
565,2016-09-16,-5395408,4462650,0
566,2016-09-17,0,4462650,1
567,2016-09-18,0,4462650,1
568,2016-09-19,-9055599,2492250,0
569,2016-09-20,-5994469,1475850,0
570,2016-09-21,-6713256,2766800,0
571,2016-09-22,-5125749,1823650,0
572,2016-09-23,-4936127,3114850,0
573,2016-09-24,0,3114850,1
574,2016-09-25,0,3114850,1
575,2016-09-26,-7663101,1340250,0
576,2016-09-27,-3574927,918600,0
577,2016-09-28,-2790409,0,0
578,2016-09-29,0,7207200,1
579,2016-09-30,-6906335,0,0
580,2016-10-01,0,8108800,1
581,2016-10-02,0,8108800,1
582,2016-10-03,-6187149,3188050,0
583,2016-10-04,-5495041,2320350,0
584,2016-10-05,-4948989,4587600,0
585,2016-10-06,-5575806,4627900,0
586,2016-10-07,-5886868,8642450,0
587,2016-10-08,0,8642450,1
